Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,hour,minute,Time_period,Is_night,Is_weekend,Accident_severity
Friday,Over 51,Male,Junior high school,Employee,2-5yr,Other,Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No distancing,11,50,Afternoon,0,0,Serious Injury
Friday,18-30,Male,Elementary school,Employee,5-10yr,Lorry (11?40Q),Owner,1-2yr,,Office areas,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Reversing,Self-employed,Normal,Not a Pedestrian,Getting off the vehicle improperly,11,50,Afternoon,0,0,Serious Injury
Friday,18-30,Male,Junior high school,Employee,2-5yr,,Owner,,No defect,Other,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,Going straight,Driver,Normal,Not a Pedestrian,Driving under the influence of drugs,15,19,Afternoon,0,0,Slight Injury
Friday,18-30,Male,High school,Owner,5-10yr,Automobile,Owner,,No defect,  Recreational areas,Undivided Two way,Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Reversing,Driver,Normal,Not a Pedestrian,Changing lane to the right,15,19,Afternoon,0,0,Slight Injury
Saturday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Governmental,,No defect,Other,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,Driving carelessly,1,58,Night,1,1,Slight Injury
Friday,Over 51,Male,Junior high school,Employee,2-5yr,Other,Governmental,5-10yrs,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,Reversing,Driver,Normal,Not a Pedestrian,Moving Backward,21,10,Night,1,0,Slight Injury
Saturday,31-50,Male,Elementary school,Employee,2-5yr,Lorry (41?100Q),Owner,,,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,,Driver,Normal,Not a Pedestrian,Turnover,15,46,Afternoon,0,1,Slight Injury
Saturday,31-50,Male,High school,Owner,Above 10yr,Automobile,Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the right,15,46,Afternoon,0,1,Slight Injury
Saturday,31-50,Male,Elementary school,Employee,1-2yr,Pick up upto 10Q,Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Reversing,Driver,Normal,Not a Pedestrian,Driving carelessly,15,46,Afternoon,0,1,Slight Injury
Saturday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Governmental,2-5yrs,,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Other,Driver,Normal,Not a Pedestrian,No priority to vehicle,15,46,Afternoon,0,1,Slight Injury
Saturday,Over 51,Male,,,,Public (13?45 seats),Owner,,,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Self-employed,Normal,Not a Pedestrian,Moving Backward,20,0,Night,1,1,Slight Injury
Saturday,18-30,Male,Junior high school,Owner,5-10yr,Long lorry,Owner,,No defect,Other,One way,Escarpments,Y Shape,,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,Changing lane to the left,20,0,Night,1,1,Slight Injury
Sunday,31-50,Male,Above high school,Employee,5-10yr,Automobile,Owner,,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Crossing from driver's nearside,Moving Backward,23,30,Night,1,1,Slight Injury
Sunday,Over 51,Male,Junior high school,Employee,5-10yr,Automobile,Owner,,No defect,  Recreational areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,Moving Backward,Driver,Normal,Not a Pedestrian,Overtaking,23,30,Night,1,1,Slight Injury
Wednesday,,Male,Junior high school,Employee,Above 10yr,Other,Owner,,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,,,Not a Pedestrian,Changing lane to the left,8,0,Morning,0,0,Slight Injury
Friday,Over 51,Male,Junior high school,Employee,1-2yr,,Owner,,No defect,Other,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,Changing lane to the right,17,30,Evening,0,0,Slight Injury
Friday,,Male,Junior high school,Employee,2-5yr,Long lorry,Owner,,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Overtaking,17,30,Evening,0,0,Slight Injury
Monday,18-30,Male,Junior high school,Employee,Below 1yr,Public (12 seats),Owner,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Overloading,11,30,Afternoon,0,0,Slight Injury
Monday,31-50,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Governmental,,No defect,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Other,Driver,Normal,Not a Pedestrian,Other,11,30,Afternoon,0,0,Slight Injury
Monday,31-50,Male,Junior high school,Employee,1-2yr,Other,Owner,Above 10yr,No defect,School areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,12,45,Afternoon,0,0,Slight Injury
Monday,31-50,Male,Above high school,Employee,5-10yr,Other,Owner,Above 10yr,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the right,12,45,Afternoon,0,0,Slight Injury
Monday,18-30,Male,Junior high school,Employee,5-10yr,Other,Owner,Above 10yr,No defect,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Turnover,Self-employed,Normal,Not a Pedestrian,Moving Backward,15,15,Afternoon,0,0,Slight Injury
Monday,31-50,Male,Elementary school,Owner,Below 1yr,Public (12 seats),Owner,Below 1yr,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the left,18,50,Evening,0,0,Slight Injury
Monday,31-50,Male,,,,Lorry (41?100Q),Owner,2-5yrs,,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,Driver,Normal,Not a Pedestrian,No priority to pedestrian,23,20,Night,1,0,Slight Injury
Monday,,Female,Junior high school,Employee,Above 10yr,Other,Owner,2-5yrs,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,,,Not a Pedestrian,No distancing,23,20,Night,1,0,Slight Injury
Monday,18-30,Male,Junior high school,,,Public (12 seats),Owner,2-5yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,,,Not a Pedestrian,No priority to vehicle,19,45,Evening,0,0,Slight Injury
Monday,,Male,Junior high school,Employee,1-2yr,Other,Owner,Below 1yr,No defect, Hospital areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Self-employed,Normal,Not a Pedestrian,No distancing,19,45,Evening,0,0,Slight Injury
Friday,18-30,Male,Junior high school,Owner,2-5yr,Lorry (11?40Q),Owner,2-5yrs,,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No distancing,22,5,Night,1,0,Slight Injury
Friday,,Male,,Employee,,Other,Owner,,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Moving Backward,22,5,Night,1,0,Slight Injury
Tuesday,,Male,Junior high school,Employee,Above 10yr,Other,Owner,,,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,18,23,Evening,0,0,Slight Injury
Tuesday,31-50,Male,Junior high school,Owner,2-5yr,Other,,,,Other,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Driver,Normal,Not a Pedestrian,No priority to pedestrian,18,23,Evening,0,0,Slight Injury
Tuesday,18-30,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Governmental,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Moving Backward,7,20,Morning,0,0,Slight Injury
Wednesday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Above 10yr,No defect, Hospital areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,Going straight,,Normal,Not a Pedestrian,Getting off the vehicle improperly,7,21,Morning,0,0,Slight Injury
Wednesday,31-50,Male,Junior high school,Employee,1-2yr,Other,,Above 10yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Overtaking,7,21,Morning,0,0,Slight Injury
Wednesday,Over 51,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,,No defect,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Overloading,9,43,Morning,0,0,Slight Injury
Wednesday,31-50,Male,Junior high school,Employee,2-5yr,Public (13?45 seats),Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Other,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,9,54,Morning,0,0,Slight Injury
Wednesday,31-50,Male,Elementary school,Employee,5-10yr,Automobile,Owner,,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,,Normal,Not a Pedestrian,Improper parking,9,54,Morning,0,0,Slight Injury
Friday,Over 51,Male,Above high school,Owner,5-10yr,Pick up upto 10Q,Owner,,,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Overtaking,Self-employed,Normal,Not a Pedestrian,Other,10,15,Afternoon,0,0,Slight Injury
Friday,,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the left,10,15,Afternoon,0,0,Slight Injury
Friday,,Female,Junior high school,Employee,2-5yr,Public (12 seats),Owner,,,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the right,10,15,Afternoon,0,0,Slight Injury
Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Other,Owner,,,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,,Normal,Not a Pedestrian,No priority to pedestrian,13,45,Afternoon,0,0,Serious Injury
Monday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,2-5yrs,,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,U-Turn,Driver,Normal,Not a Pedestrian,Overspeed,8,45,Morning,0,0,Slight Injury
Monday,,Male,Junior high school,Employee,1-2yr,Pick up upto 10Q,Owner,,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the left,8,45,Morning,0,0,Slight Injury
Friday,31-50,Male,Junior high school,Owner,2-5yr,Other,Owner,5-10yrs,,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No priority to vehicle,8,55,Morning,0,0,Slight Injury
Thursday,31-50,Male,High school,Owner,2-5yr,Lorry (41?100Q),Owner,,,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,17,52,Evening,0,0,Slight Injury
Thursday,31-50,Male,,Employee,,Ridden horse,Owner,,,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Driver,Normal,Not a Pedestrian,No distancing,17,52,Evening,0,0,Slight Injury
Friday,Over 51,Male,Junior high school,Owner,1-2yr,Automobile,Owner,,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,Turnover,Driver,Normal,Not a Pedestrian,No priority to pedestrian,14,20,Afternoon,0,0,Serious Injury
Friday,31-50,Male,Junior high school,,Below 1yr,Automobile,Owner,,,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,,Normal,Not a Pedestrian,No distancing,19,40,Evening,0,0,Slight Injury
Friday,Over 51,Male,High school,Employee,1-2yr,Stationwagen,Owner,5-10yrs,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,Going straight,Driver,Normal,Not a Pedestrian,No priority to vehicle,19,40,Evening,0,0,Slight Injury
Saturday,31-50,Male,Above high school,Employee,1-2yr,Other,Owner,,,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,,,Not a Pedestrian,Other,6,42,Morning,0,1,Slight Injury
Saturday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Other,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,Driving carelessly,6,42,Morning,0,1,Slight Injury
Saturday,18-30,Male,High school,Employee,1-2yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,,,Not a Pedestrian,Changing lane to the left,11,2,Afternoon,0,1,Slight Injury
Saturday,31-50,,Junior high school,Employee,2-5yr,Long lorry,Owner,Above 10yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Fall from vehicles,Going straight,Self-employed,Normal,Not a Pedestrian,Driving carelessly,11,2,Afternoon,0,1,Slight Injury
